"T3a";"0";"Porte de Vincennes";"48.8469834975727, 2.4095379858241412";"Alexandra David-Néel";"48.84368526694643, 2.4100250065154265";"00:05";"0.184"
"T3a";"0";"Alexandra David-Néel";"48.84368526694643, 2.4100250065154265";"Montempoivre";"48.83988400020971, 2.408814546821016";"00:15";"0.212"
"T3a";"0";"Montempoivre";"48.83988400020971, 2.408814546821016";"Porte Dorée";"48.83512991676044, 2.4058985151305987";"00:55";"0.268"
"T3a";"0";"Porte Dorée";"48.83512991676044, 2.4058985151305987";"Porte de Charenton";"48.8320158556433, 2.3982507364087526";"00:13";"0.209"
"T3a";"0";"Porte de Charenton";"48.8320158556433, 2.3982507364087526";"Baron le Roy";"48.83042655091173, 2.39341950392133";"00:02";"0.115"
"T3a";"0";"Baron le Roy";"48.83042655091173, 2.39341950392133";"Avenue de France";"48.82555977471331, 2.3809038056961698";"01:38";"0.328"
"T3a";"0";"Avenue de France";"48.82555977471331, 2.3809038056961698";"Maryse Bastié";"48.824382190272274, 2.3775534381245933";"00:01";"0.081"
"T3a";"0";"Maryse Bastié";"48.824382190272274, 2.3775534381245933";"Porte d'Ivry";"48.8218601257817, 2.3699562338281868";"00:05";"0.177"
"T3a";"0";"Porte d'Ivry";"48.8218601257817, 2.3699562338281868";"Porte de Choisy";"48.81976866806797, 2.3639343743867536";"00:03";"0.144"
"T3a";"0";"Porte de Choisy";"48.81976866806797, 2.3639343743867536";"Porte d'Italie";"48.819064255539985, 2.3600205548381514";"00:01";"0.067"
"T3a";"0";"Porte d'Italie";"48.819064255539985, 2.3600205548381514";"Poterne des Peupliers";"48.82073732671356, 2.3500574676519284";"00:05";"0.167"
"T3a";"0";"Poterne des Peupliers";"48.82073732671356, 2.3500574676519284";"Stade Charléty - Porte de Gentilly";"48.819535450932925, 2.34571416711844";"00:02";"0.09"
"T3a";"0";"Stade Charléty - Porte de Gentilly";"48.819535450932925, 2.34571416711844";"Cité Universitaire";"48.820509933065615, 2.338115658368057";"00:03";"0.119"
"T3a";"0";"Cité Universitaire";"48.820509933065615, 2.338115658368057";"Montsouris";"48.82154495165109, 2.3333899397534115";"00:02";"0.088"
"T3a";"0";"Montsouris";"48.82154495165109, 2.3333899397534115";"Porte d'Orléans";"48.82335017119638, 2.324922053842732";"00:04";"0.156"
"T3a";"0";"Porte d'Orléans";"48.82335017119638, 2.324922053842732";"Jean Moulin";"48.824763620104996, 2.3188287710972655";"00:02";"0.118"
"T3a";"0";"Jean Moulin";"48.824763620104996, 2.3188287710972655";"Didot";"48.82597351412929, 2.3133644199139147";"00:02";"0.104"
"T3a";"0";"Didot";"48.82597351412929, 2.3133644199139147";"Porte de Vanves";"48.827454921561646, 2.3066838708072592";"00:03";"0.128"
"T3a";"0";"Porte de Vanves";"48.827454921561646, 2.3066838708072592";"Brancion";"48.82870707372911, 2.300850585299838";"00:02";"0.111"
"T3a";"0";"Brancion";"48.82870707372911, 2.300850585299838";"Georges Brassens";"48.83007584981405, 2.295015438602318";"00:02";"0.116"
"T3a";"0";"Georges Brassens";"48.83007584981405, 2.295015438602318";"Porte de Versailles - Parc des Expositions";"48.832714950896516, 2.2880864296816648";"00:05";"0.18"
"T3a";"0";"Porte de Versailles - Parc des Expositions";"48.832714950896516, 2.2880864296816648";"Desnouettes";"48.834603133856895, 2.283483092163333";"00:03";"0.127"
"T3a";"0";"Desnouettes";"48.834603133856895, 2.283483092163333";"Balard";"48.83632904720439, 2.277355761841914";"00:03";"0.135"
"T3a";"0";"Balard";"48.83632904720439, 2.277355761841914";"Pont du Garigliano";"48.83807321092004, 2.271323138312333";"00:03";"0.136"
"T3a";"0";"Pont du Garigliano";"48.83807321092004, 2.271323138312333";"Balard";"48.835888441280396, 2.2788605111327747";"00:05";"0.17"
"T3a";"0";"Balard";"48.835888441280396, 2.2788605111327747";"Desnouettes";"48.83411479687378, 2.284538816875225";"00:03";"0.132"
"T3a";"0";"Desnouettes";"48.83411479687378, 2.284538816875225";"Porte de Versailles - Parc des Expositions";"48.83260662902873, 2.2880197933556627";"00:02";"0.099"
"T3a";"0";"Porte de Versailles - Parc des Expositions";"48.83260662902873, 2.2880197933556627";"Georges Brassens";"48.82958965330787, 2.29645235862634";"00:14";"0.211"
"T3a";"0";"Georges Brassens";"48.82958965330787, 2.29645235862634";"Brancion";"48.82864316650426, 2.3006879774102935";"00:01";"0.082"
"T3a";"0";"Brancion";"48.82864316650426, 2.3006879774102935";"Porte de Vanves";"48.827373746784275, 2.3066440851164933";"00:02";"0.113"
"T3a";"0";"Porte de Vanves";"48.827373746784275, 2.3066440851164933";"Didot";"48.82588342655846, 2.313338363709676";"00:03";"0.128"
"T3a";"0";"Didot";"48.82588342655846, 2.313338363709676";"Jean Moulin";"48.824656012842546, 2.318884661036553";"00:02";"0.105"
"T3a";"0";"Jean Moulin";"48.824656012842546, 2.318884661036553";"Porte d'Orléans";"48.822943553337296, 2.326180409502787";"00:03";"0.141"
"T3a";"0";"Porte d'Orléans";"48.822943553337296, 2.326180409502787";"Montsouris";"48.82149015737766, 2.333240818516532";"00:03";"0.128"
"T3a";"0";"Montsouris";"48.82149015737766, 2.333240818516532";"Cité Universitaire";"48.820191827892465, 2.339141182523244";"00:02";"0.11"
"T3a";"0";"Cité Universitaire";"48.820191827892465, 2.339141182523244";"Stade Charléty - Porte de Gentilly";"48.81944596603347, 2.345797007642135";"00:02";"0.101"
"T3a";"0";"Stade Charléty - Porte de Gentilly";"48.81944596603347, 2.345797007642135";"Poterne des Peupliers";"48.82083627815218, 2.3517178700368593";"00:02";"0.113"
"T3a";"0";"Poterne des Peupliers";"48.82083627815218, 2.3517178700368593";"Porte d'Italie";"48.81898404542081, 2.36015773399431";"00:04";"0.156"
"T3a";"0";"Porte d'Italie";"48.81898404542081, 2.36015773399431";"Porte de Choisy";"48.81971514342374, 2.3640167452454044";"00:01";"0.067"
"T3a";"0";"Porte de Choisy";"48.81971514342374, 2.3640167452454044";"Porte d'Ivry";"48.821816307706, 2.3701746864334314";"00:04";"0.145"
"T3a";"0";"Porte d'Ivry";"48.821816307706, 2.3701746864334314";"Maryse Bastié";"48.82432922348724, 2.377744762249231";"00:05";"0.176"
"T3a";"0";"Maryse Bastié";"48.82432922348724, 2.377744762249231";"Avenue de France";"48.825489098203334, 2.381149825464056";"00:01";"0.081"
"T3a";"0";"Avenue de France";"48.825489098203334, 2.381149825464056";"Baron le Roy";"48.830336895691396, 2.3934750366791087";"01:36";"0.325"
"T3a";"0";"Baron le Roy";"48.830336895691396, 2.3934750366791087";"Porte de Charenton";"48.831971917767255, 2.398455585755042";"00:03";"0.118"
"T3a";"0";"Porte de Charenton";"48.831971917767255, 2.398455585755042";"Porte Dorée";"48.83597310359848, 2.407264913210672";"00:50";"0.261"
"T3a";"0";"Porte Dorée";"48.83597310359848, 2.407264913210672";"Montempoivre";"48.83986661994873, 2.408937367696815";"00:19";"0.218"
"T3a";"0";"Montempoivre";"48.83986661994873, 2.408937367696815";"Alexandra David-Néel";"48.843658959618125, 2.410161562816697";"00:15";"0.212"
"T3a";"0";"Alexandra David-Néel";"48.843658959618125, 2.410161562816697";"Porte de Vincennes";"48.846884708674125, 2.409566358514211";"00:05";"0.18"
"T3a";"1";"Balard";"48.83632904720439, 2.277355761841914";"Pont du Garigliano";"48.838018340072864, 2.271174035081847";"00:03";"0.135"
"T3a";"0";"Pont du Garigliano";"48.838018340072864, 2.271174035081847";"Balard";"48.835888441280396, 2.2788605111327747";"00:05";"0.169"
"C";"0";"Dourdan";"48.53376051220457, 2.008756915662106";"Sermaise";"48.535687624993614, 2.069088468619773";"10:35";"1.074"
"C";"0";"Sermaise";"48.535687624993614, 2.069088468619773";"Saint-Chéron";"48.550937745357075, 2.1249767315730463";"12:51";"1.263"
"C";"0";"Saint-Chéron";"48.550937745357075, 2.1249767315730463";"Breuillet Village";"48.56433413404574, 2.170354257290333";"09:52";"1.014"
"C";"0";"Breuillet Village";"48.56433413404574, 2.170354257290333";"Breuillet - Bruyères-le-Châtel";"48.57760979436327, 2.1922487394356454";"07:16";"0.797"
"C";"0";"Breuillet - Bruyères-le-Châtel";"48.57760979436327, 2.1922487394356454";"Égly";"48.582715781664064, 2.2234625238542307";"03:33";"0.488"
"C";"0";"Égly";"48.582715781664064, 2.2234625238542307";"Arpajon";"48.58599680822646, 2.2412169696111426";"01:07";"0.284"
"C";"0";"Arpajon";"48.58599680822646, 2.2412169696111426";"La Norville - Saint-Germain-lès-Arpajon";"48.59111916474817, 2.266215906699314";"02:37";"0.41"
"C";"0";"La Norville - Saint-Germain-lès-Arpajon";"48.59111916474817, 2.266215906699314";"Brétigny";"48.60664906621052, 2.3019573828860596";"09:01";"0.943"
"C";"0";"Brétigny";"48.60664906621052, 2.3019573828860596";"Saint-Michel-sur-Orge";"48.635615525211605, 2.3068029676156123";"17:02";"1.611"
"C";"0";"Saint-Michel-sur-Orge";"48.635615525211605, 2.3068029676156123";"Sainte-Geneviève-des-Bois";"48.65295347339147, 2.3129608959702024";"09:17";"0.964"
"C";"0";"Sainte-Geneviève-des-Bois";"48.65295347339147, 2.3129608959702024";"Épinay-sur-Orge";"48.6693475106473, 2.332043500451718";"08:40";"0.914"
"C";"0";"Épinay-sur-Orge";"48.6693475106473, 2.332043500451718";"Savigny-sur-Orge";"48.67639468866699, 2.3523541804056833";"02:26";"0.395"
"C";"0";"Savigny-sur-Orge";"48.67639468866699, 2.3523541804056833";"Juvisy";"48.68970940912314, 2.383334629403869";"06:36";"0.741"
"C";"0";"Juvisy";"48.68970940912314, 2.383334629403869";"Bibliothèque François Mitterrand";"48.8288801225864, 2.377758552865005";"90:32";"7.736"
"C";"0";"Bibliothèque François Mitterrand";"48.8288801225864, 2.377758552865005";"Gare d'Austerlitz";"48.84032035638395, 2.367818767583529";"05:33";"0.654"
"C";"0";"Gare d'Austerlitz";"48.84032035638395, 2.367818767583529";"Saint-Michel Notre-Dame";"48.853023793740164, 2.344959780029387";"07:21";"0.804"
"C";"0";"Saint-Michel Notre-Dame";"48.853023793740164, 2.344959780029387";"Musée d'Orsay";"48.860365575927474, 2.326623034830927";"04:00";"0.524"
"C";"0";"Musée d'Orsay";"48.860365575927474, 2.326623034830927";"Invalides";"48.8627130056211, 2.3126576509104404";"01:10";"0.289"
"C";"0";"Massy - Palaiseau";"48.72551907437078, 2.2587677282577334";"Massy - Verrières";"48.73498926809152, 2.2739511484048442";"04:04";"0.53"
"C";"0";"Massy - Verrières";"48.73498926809152, 2.2739511484048442";"Chemin d'Antony";"48.747936542587276, 2.3126496863919335";"06:40";"0.747"
"C";"0";"Chemin d'Antony";"48.747936542587276, 2.3126496863919335";"Rungis la Fraternelle";"48.74021613668418, 2.3521980873905326";"03:28";"0.481"
"C";"0";"Rungis la Fraternelle";"48.74021613668418, 2.3521980873905326";"Pont de Rungis Aéroport d'Orly";"48.74834625868034, 2.373209854795934";"03:18";"0.466"
"C";"0";"Pont de Rungis Aéroport d'Orly";"48.74834625868034, 2.373209854795934";"Orly Ville";"48.74163230680523, 2.4030548924063897";"02:36";"0.409"
"C";"0";"Orly Ville";"48.74163230680523, 2.4030548924063897";"Les Saules";"48.74520105223681, 2.4174549898851208";"00:16";"0.213"
"C";"0";"Les Saules";"48.74520105223681, 2.4174549898851208";"Choisy-le-Roi";"48.76387977763339, 2.411287538155699";"10:10";"1.039"
"C";"0";"Choisy-le-Roi";"48.76387977763339, 2.411287538155699";"Les Ardoines";"48.78248922625494, 2.409587305033223";"10:07";"1.035"
"C";"0";"Les Ardoines";"48.78248922625494, 2.409587305033223";"Vitry-sur-Seine";"48.80028105254759, 2.40269438767449";"09:36";"0.992"
"C";"0";"Vitry-sur-Seine";"48.80028105254759, 2.40269438767449";"Ivry-sur-Seine";"48.8139591342409, 2.391677280020743";"06:59";"0.773"
"C";"0";"Ivry-sur-Seine";"48.8139591342409, 2.391677280020743";"Bibliothèque François Mitterrand";"48.8288801225864, 2.377758552865005";"07:56";"0.852"
"C";"0";"Invalides";"48.8627130056211, 2.3126576509104404";"Pont de l'Alma";"48.86247496310803, 2.3003592740110994";"00:27";"0.229"
"C";"0";"Pont de l'Alma";"48.86247496310803, 2.3003592740110994";"Champ de Mars Tour Eiffel";"48.8564765666592, 2.2896562493865478";"02:20";"0.386"
"C";"0";"Champ de Mars Tour Eiffel";"48.8564765666592, 2.2896562493865478";"Avenue du Président Kennedy Maison de Radio France";"48.85352548506894, 2.279679454187814";"00:36";"0.241"
"C";"0";"Avenue du Président Kennedy Maison de Radio France";"48.85352548506894, 2.279679454187814";"Boulainvilliers";"48.856981095562965, 2.274806827480264";"00:14";"0.211"
"C";"0";"Boulainvilliers";"48.856981095562965, 2.274806827480264";"Avenue Henri Martin";"48.86545537297977, 2.2722351438875577";"03:23";"0.473"
"C";"0";"Avenue Henri Martin";"48.86545537297977, 2.2722351438875577";"Avenue Foch";"48.86985281215763, 2.2747712644338454";"00:42";"0.249"
"C";"0";"Avenue Foch";"48.86985281215763, 2.2747712644338454";"Neuilly Porte Maillot";"48.878347804048644, 2.284217509613705";"03:48";"0.508"
"C";"0";"Neuilly Porte Maillot";"48.878347804048644, 2.284217509613705";"Péreire Levallois";"48.88602700780433, 2.2992286819828145";"04:03";"0.528"
"C";"0";"Péreire Levallois";"48.88602700780433, 2.2992286819828145";"Porte de Clichy";"48.894262568309564, 2.3159411535514716";"04:42";"0.583"
"C";"0";"Porte de Clichy";"48.894262568309564, 2.3159411535514716";"Saint-Ouen";"48.90456082213364, 2.322694729473372";"04:49";"0.592"
