"Tramway d'Alger","0","Ruisseau","36.742878","3.0834886","Les Fusillés","36.7459931","3.086813","0:55","0.46"
"Tramway d'Alger","0","Les Fusillés","36.7459931","3.086813","Ruisseau","36.742878","3.0834886","0:55","0.46"
"Tramway d'Alger","0","Les Fusillés","36.7459931","3.086813","Tripoli-Thaalibia","36.7452182","3.0922946","1:0","0.5"
"Tramway d'Alger","0","Tripoli-Thaalibia","36.7452182","3.0922946","Les Fusillés","36.7459931","3.086813","1:0","0.5"
"Tramway d'Alger","0","Tripoli-Thaalibia","36.7452182","3.0922946","Tripoli-Mosquée","36.7432626","3.0974131","1:1","0.51"
"Tramway d'Alger","0","Tripoli-Mosquée","36.7432626","3.0974131","Tripoli-Thaalibia","36.7452182","3.0922946","1:1","0.51"
"Tramway d'Alger","0","Tripoli-Mosquée","36.7432626","3.0974131","Tripoli-Hamadeche","36.7407195","3.1040904","1:19","0.66"
"Tramway d'Alger","0","Tripoli-Hamadeche","36.7407195","3.1040904","Tripoli-Mosquée","36.7432626","3.0974131","1:19","0.66"
"Tramway d'Alger","0","Tripoli-Hamadeche","36.7407195","3.1040904","Tripoli-Maqqaria","36.7370321","3.1136772","1:54","0.95"
"Tramway d'Alger","0","Tripoli-Maqqaria","36.7370321","3.1136772","Tripoli-Hamadeche","36.7407195","3.1040904","1:54","0.95"
"Tramway d'Alger","0","Tripoli-Maqqaria","36.7370321","3.1136772","Caroubier","36.7357136","3.1181771","0:52","0.43"
"Tramway d'Alger","0","Caroubier","36.7357136","3.1181771","Tripoli-Maqqaria","36.7370321","3.1136772","0:52","0.43"
"Tramway d'Alger","0","Caroubier","36.7357136","3.1181771","La Glacière","36.7328166","3.1246314","1:19","0.66"
"Tramway d'Alger","0","La Glacière","36.7328166","3.1246314","Caroubier","36.7357136","3.1181771","1:19","0.66"
"Tramway d'Alger","0","La Glacière","36.7328166","3.1246314","Pont El Harrach","36.7302783","3.1301597","1:8","0.57"
"Tramway d'Alger","0","Pont El Harrach","36.7302783","3.1301597","La Glacière","36.7328166","3.1246314","1:8","0.57"
"Tramway d'Alger","0","Pont El Harrach","36.7302783","3.1301597","Bellevue","36.7294979","3.1360516","1:4","0.53"
"Tramway d'Alger","0","Bellevue","36.7294979","3.1360516","Pont El Harrach","36.7302783","3.1301597","1:4","0.53"
"Tramway d'Alger","0","Bellevue","36.7294979","3.1360516","Bekri Bougerra","36.7278111","3.1434353","1:22","0.68"
"Tramway d'Alger","0","Bekri Bougerra","36.7278111","3.1434353","Bellevue","36.7294979","3.1360516","1:22","0.68"
"Tramway d'Alger","0","Bekri Bougerra","36.7278111","3.1434353","Cinq Maisons","36.7258806","3.1508033","1:23","0.69"
"Tramway d'Alger","0","Cinq Maisons","36.7258806","3.1508033","Bekri Bougerra","36.7278111","3.1434353","1:23","0.69"
"Tramway d'Alger","0","Cinq Maisons","36.7258806","3.1508033","Foire d'Alger","36.7312694","3.1613689","2:14","1.12"
